Rnk;No;Team;Name 1;Name 2;Nat;Time;Difference;Category;Age Group
156;202;FF Fredenbeck/Mulsum;BOESLER Nadja;BOESCH Silas;GER;12:26.350;+6:49.940;MIX;
157;181;Team Wölfis 1;ROTTER Pascal;EUCHLER Moritz;GER;12:29.280;+6:52.870;M;Männer
158;176;Bechstedt-Wagd Team 2;BüRGE Fabian;LEINHOS Steve;GER;12:31.280;+6:54.870;M;Männer 80
159;179;Vochtstorsten;BARTELT Alex;VOIGT Philip;GER;12:32.680;+6:56.270;M;Männer
160;142;Feuerwehr Etzenricht 2;DREYER Florian;RöSCH Florian;GER;12:34.010;+6:57.600;M;Männer
161;201;Feuerwehr Rudolstadt;KRETZSCHMAR Denny;LINDNER Wolfgang;GER;12:39.800;+7:03.390;M;Männer
162;35;Kirchworbis 1;KAUFUNG Mario;KAUFUNG Tobias;GER;12:42.570;+7:06.160;M;Männer
163;197;TFA Team Mitte 5;ROMMERT Tim;THORMEYER Julian;GER;12:45.020;+7:08.610;M;Männer
164;74;Frankfurter Mädsche;KRIMM Jennifer;WEIß Anne-Kathrin;GER;12:45.620;+7:09.210;W;
165;61;Die Aufsteiger;FALTIN Cynthia;BEHRINGER Uwe;GER;12:47.880;+7:11.470;MIX;
166;81;Chiemsee;DREIKORN Johannes;PALK Josef;GER;12:50.120;+7:13.710;M;Männer 100
167;242;Irgendwas ist immer;BÄHRE Alexander;STEIN Fabian;GER;12:51.870;+7:15.460;M;Männer
168;72;Gate City;GOLLER Denise;GOLLER Fabienne;GER;12:56.850;+7:20.440;W;
169;235;Feuerwehr Sonneberg-Ost;FRITSCH Andre;LIEBERMANN Nico;GER;13:01.750;+7:25.340;M;Männer
170;98;Team Ostsachsen 5;HäNEL Marvin;WAGNER Maximilian;GER;13:02.830;+7:26.420;M;Männer
171;185;TFA Rhein-Lahn;FRIEDRICH Andreas;SCHOLZ Dominic;GER;13:04.500;+7:28.090;M;Männer 80
172;3;Feuerwehr Ottweiler 3;SAHNER Leah;MARTIN Jonas;GER;13:14.640;+7:38.230;MIX;
173;44;Alte Säcke;BLUME Sandro;PAUL Alexander;GER;13:19.990;+7:43.580;M;Männer 80
174;233;FF Gotha 1;BAUMBACH Michel;BRöDE Miguel;GER;13:22.110;+7:45.700;M;Männer
175;152;FF Eisenach Mitte;PFEIFER Julia;KIESSBAUER Kevin;GER;13:22.310;+7:45.900;MIX;
176;139;FFW Schnaittach / Eismannsberg;SAUPE Frank;WEICKMANN Matthias;GER;13:25.950;+7:49.540;M;Männer 80
177;14;FCC Team Lehre;FLÜGGE Jannik;ROCKAR Sven;GER;13:26.400;+7:49.990;M;Männer
178;136;Young & Wild Frankenblick;MEINHOLD Frank;SCHALLER Daniel;GER;13:26.540;+7:50.130;M;Männer
179;48;Brandweer Ter Apel;BAKKER David;PRUIM Patrick;NED;13:29.000;+7:52.590;M;Männer 80
180;223;Tönningstedt-Borstel;PHILIPS Jan;REICHELT Paul;GER;13:38.760;+8:02.350;M;Männer
182;8;Die 2 Minions;KöLLNER Anna;BUTTIG Matthias;GER;13:43.630;+8:07.220;MIX;
183;151;Kesselbach Kernstadt;BERG Markus;BERG Thorben;GER;13:44.330;+8:07.920;M;Männer
184;45;Team Rheinland 2;KRONBERGER Maurine;LINDLEIN Gerrit;GER;13:48.010;+8:11.600;MIX;
185;104;TFA Team Mitte 6;ZEINER Yvonne;BLüMMERT Fabian;GER;13:48.750;+8:12.340;MIX;
186;58;Olli‘s Lieblinge;MEYENSCHEIN Niclas;SPATZ Nicolas;GER;13:49.360;+8:12.950;M;Männer
187;155;FF Borstel 2;GIESE Lennart;PAWLAK Grzegorz;GER;13:51.590;+8:15.180;M;Männer
188;70;Ostalb Firefighters 2;GAYER Marion;WOLFRAM Peter;GER;13:51.850;+8:15.440;MIX;
189;47;Feuerwehr Mahlberg Team 2;IPS Florian;BALAJ Andi;GER;13:53.810;+8:17.400;M;Männer
190;204;BF und FF Hand in Hand;GÖTZ, Dominic;LINSER Oliver;GER;13:56.430;+8:20.020;M;Männer
191;149;FF Nurzen;RUDOLPH Carsten;SCHäDEL Paul;GER;14:01.350;+8:24.940;M;Männer
192;19;TFA Team Mitte 9;DEGENHARDT Sebastian;DRANSFELD Max;GER;14:02.050;+8:25.640;M;Männer
193;213;Feuerwehr Mahlberg Team 3;WALDINGER Stefan;WEBER Moritz;GER;14:02.580;+8:26.170;M;Männer
194;84;BwF11;KERSTEN Christin;ZIEGLER Erik;GER;14:09.430;+8:33.020;MIX;
195;92;Stark und Stufig;GROßE Rebekka;PAUL Karina;GER;14:13.510;+8:37.100;W;
196;188;Bermbacher Feuerwichtel;JäGER Lea;FULSCHE Leon;GER;14:16.840;+8:40.430;MIX;
197;90;Firefighter Team Phoenix Germa;KIUPEL Denny;THOMSEN Christian;GER;14:16.940;+8:40.530;M;Männer
