Position;BIB;Name;Team;Country;Time;Gap
123;6;AMISTADI GIORGIO;RIVA DEL GARDA;ITA;00:16:18;+8:12
124;98;BÖHR MICHAELA;FEUERWEHR WAGING AM SEE;GER;00:16:28;+8:21
125;125;THUMS LEONHARD;FEUERWEHR WAGING AM SEE;GER;00:16:59;+8:53
126;85;RUSSO FABIO;CNVVF;ITA;00:17:32;+9:25
127;108;MARAN LUCA;OLTRISARCO/ASLAGO;ITA;00:18:19;+10:13
128;106;MINOLETTI SARA;MEZZANA;ITA;00:19:05;+10:58
129;141;NICOLODI FRANCESCA;DRO;ITA;00:21:06;+13:00
130;128;SPEZIA CARLOTTA;ARCO;ITA;00:21:18;+13:11
131;122;FONTANA MARCO;VIGOLO VATTARO;ITA;00:21:54;+13:48
132;36;CAVARERO LUCA;DISTACCAMENTO VOLONTARI;ITA;00:22:01;+13:55
133;50;NASTVOGEL MATTHIAS;FREIWILLIGE FEUERWEHR;ITA;00:22:25;+14:19
134;155;FEDRIZZI ELEONORA;FLAVON;ITA;00:33:05;+24:59
