Name;Duration
Apel, Paul / Zviagintsev, Zakhar;9:46.1
Pötter, Nico / Hensel, Ralf;9:47.2
Famira, Christian / Windt, Florian;9:48.4
Claes, Denis / Schoonbrood, René;9:49.5
Weber, Ronny / Brunner, Daniel;9:50.5
Betker, Friedrich / Hesselmann, Nils;9:50.6
Sprenger, Andreas / Räthel, Laura;9:50.8
Pison, Sven / Dannecker, Michael;9:54.7
Fischer, Tobias / Högelow, Melodie;9:56.2
Banz, Marco / Ehlenz, Jann;9:56.3
Puchta, Matthias / Rietsch, Florian;9:56.8
Bringmann, Joey / Lewerenz, Stephan;9:57.3
Franke, Felix / Schneider, Tobias;9:57.4
Stoek, Bettina / Teucher, Martin;9:57.4
Drobinski, Damian / Väth, Jonathan;9:58.0
Schrödel, Patrick / Brandmann, Christian;9:58.8
Breuer, Steffen / Pfützner, Marcel;9:59.0
Bohun, Jörg / Pyka, Damian;10:00.4
Sandmann, Tim / Meyer, Pascal;10:00.7
Gründel, Phillipp / Kraus, Lukas;10:01.1
Peltzer, Philipp / Weber, Danny;10:02.1
Bringtoft, Benjamin / Kleisberg, Kristian;10:02.4
Kubik, Alexander / Koch, Matthias;10:02.5
Geib, Yannick / Harbers Patrick;10:02.6
Mooser, Hagen / Pietsch, Ingo;10:02.9
Gabriel, Philipp / Lückert, Konstantin;10:03.4
Schulz, Rüdiger / Altenhövel, Stefan;10:06.4
Majer, Julian / Czerwinski, Florian;10:06.8
Thäle, Michael / Schewski, Dennis;10:08.9
Verones, Stefano / Bones, Mattia;10:11.0
Reinhardt, Jana / Kunze, Martin;10:11.8
Mauerer, Patrick / Gleißner, Josef;10:13.7
Moritz, Philipp / Tourbier, Matthias;10:15.6
Martti, Helinä / Liimatainen, Anni;10:19.5
Herget, Kevin / Greiner-Hupp, Robert;10:20.3
Humbert, Jan / Zahlmann, Fabian;10:20.6
Heinovski, Julian / Hey, Alexander;10:20.6
Schulz, Maik / Nitsche, Dennis;10:21.5
Wolsing, Julie / Kizilkaya, Mehmet;10:22.0
Möller, Pascal / Möller, Dennis;10:25.1
Emeling, Andre / Ziem, Felix;10:25.6
Holland, Christian / Waschan, René;10:30.0
Frizzi, Stefano / Markart, Aaron Robert;10:31.2
Stüdemann, Olaf / Roschmann, Stefan;10:31.3
Krumstroh, René / Schneidereit, Kirsten;10:32.1
Winkler, Martin / Löwe, Theresia;10:32.4
Wiebrecht, Mark / Stracke, Justus;10:33.0
Andersen, Carsten / Holmberg, Niels;10:34.8
Vogler, Mark / Schröder, Alexander;10:34.9
Duer, Simon / Christiansen, Lars;10:35.7
Schalcher, Thorsten / Heise, Uwe;10:36.7
Konrath, Liam / Bantel, Michel;10:37.2
Dewitz, Richard Jörg Siegfried / Skupin, Kim;10:37.7
Landgraf, Max / Börno, Rico;10:38.2
Voß, Matthias / Koslow, Lucas;10:39.3
Kögler, Niels-Philip / König, Kai;10:39.6
Gubsch, Nico / Boigk, Thomas;10:40.7
Schwarzer, Robin / Krey, Robert;10:41.6
Desombre, Steven / Fröhlich, Maximilian;10:41.8
Görisch, Marko / Feinen, Katharina;10:41.9
Keilhofer, Simon / Suchold, Jennifer;10:43.1
Schramm, Swen / Abel, Leon;10:44.7
Siebert, Tobias / Staats, Jonas;10:45.2
Heinicke, Martin / Fichtner, Tim;10:45.3
Dyhrberg, Casper Løber / Krygermeyer, Ivan;10:45.7
Junge, Alexander / Behnke, Ronja;10:46.3
Papuc, Eugeniu / Nardon, Yuri;10:48.3
Burkhardt, Ronald / Nicklitzsch, Christoph;10:49.0
Reinert, Erik / Schwantuschke, Florian;10:49.6
Posanz, Andrea / Schönewald, Melanie;10:50.3
Bunzel, Denise / Nickel, Linda;10:50.4
Reitz, Alex / Reitz, Desiree;10:51.3
Rathjen, Anne-Sophie / Eckardt, Mattis;10:52.5
Seibt, Pascal / Weiher, Phillip;10:52.6
Damm, Jörg / Kornath, Carsten;10:52.8
Tibbe, Mareike / Kunert, Daniel;10:53.9
Bohun, Jasmin / Roidl, Steve;10:55.4
Lau, Dominik / Radzanowski, Aileen;10:56.0
Lenker, Maximilian / Lange, Ricardo;10:57.6
Seifert, Martin / Lehmberg, Patrick;10:57.8
Faustini, Patrick / Oradini, Michele;10:58.2
Harders, Mike / Wollenberg, Hagen;10:58.4
Schröder, Chris / Fischbuch, Alexander;10:58.7
Gersten, Martin / Kinast, Michael;10:58.9
Matte, Sarah / Rehwinkel, Sylvia;11:00.2
Bossig, Christian / Ortlepp, Sven;11:01.7
Chierichetti, Nicolo / Omezzolli, Mauro;11:02.0
Macieczyk, Robert / Zönnchen, Justin;11:02.2
Scholz, Dominic / Gapp, Simon;11:03.4
Kraus, Lukas / Kraus, Maximilian;11:03.5
Scholz, Patrick / Heinrich, Steve;11:05.2
Wittig, Philipp / Kralisch, Pascal;11:05.6
Friedrich, Tobias / Wiede, Simon;11:06.1
Wilke, Lukas / Gubatz, Julien;11:06.7
Höltke, Jan-Frederik / Linde, Matthias;11:07.2
Münch, Eric / Schuhmacher, Nils;11:07.3
Sauer, Sabine / Herborn, Björn;11:09.2
Marx, Jens / Erblich, Felix;11:09.3
Pederzolli, Manuel / Bertagnollo, Daniele;11:09.8
Sprenger, Marie-Louise / Peeß, Merlin;11:10.1
Rahlfs, Leon / Schmidt, Thorsten;11:10.4
Schwandke, Louis / Blum, Tobias;11:10.9
Siefert, Thomas / Weber, Andreas;11:12.5
Turmann, Thomas / Hennerberger, André;11:14.5
Friedrich, Andreas / Tönges, Alexander;11:14.8
Dralle, Jörn / Gromeier, Ben;11:15.0
Eckardt, Holger / Cymara, Hardy;11:15.6
Mohr, René / Rothenbücher, Jonas;11:15.8
Venho, Jesse / Venho, Mika;11:16.1
Mach, Sabina / Pysz, Mateusz;11:17.1
Glanz, Henry / Ferneschild, André;11:18.3
Schapfle, Marvin / Wunderle, Phlipp;11:18.5
Cetto, Simone / Rossi, Luca;11:18.7
Kloss, Benjamin / Schremmer, Daniel;11:18.9
Gerber, Jonathan / Gerber, Jörg;11:22.2
Müller, Sabrina / Mohr, Simon;11:22.4
Hohmann, Markus / Hornschuh, Valentin;11:22.5
Roßberg, Felix / Wagner, Maik;11:23.8
Dreher, Steven / Lippisch, André;11:28.2
Dahm, Stefan / Hellwig, Alexander;11:28.5
Schlickeisen, Thomas / Krause, Clemens;11:30.2
Koch, Petra / Schelle, Patrick;11:31.3
Jørgensen, Kim Cohr / List, Dan;11:32.8
Günzel, Jörn / Margraff, Christoph;11:34.5
Agsten, Sven / Matzat, Stephan;11:34.5
Hellert, Una / Schüler, Alexander;11:34.8
Steinert, Bruno / Lebeda, Kevin;11:37.3
Brandt, Benjamin / Ewald, Justin;11:37.6
Bär, Dominik / Schmidt, Jan;11:38.2
Leonardi, Andrea / Di Gioia, Alessandro;11:40.0
Friedrich, Michael / Jungbauer, Martino;11:41.1
Langheinrich, Markus / Jahn, Jens;11:41.1
Music, Mika / Borchert, Felix;11:42.1
Klisch, Andreas / Juhnke, Sarah;11:42.9
Stahl, Sarah / Juffa, Marco;11:43.2
Dudek, Dennis / Ziesch, Stephan;11:44.0
Freise, Florian / Pommerening, Maria;11:44.1
Schneider, Andreas / Dietrich, Matthias;11:44.3
Meinhardt, Fabian / Schollenberger, Mirco;11:45.4
Sonnenberg, Helge / Sonnenberg, Rebea;11:48.5
Brandt, Sebastian / Formella, Rene;11:51.5
Hirte, Tino / Latuske, Phillip;11:51.8
Henrichs, Frank / Antony, Reinhold;11:52.2
Peter, Christian / Kackstein, Aron;11:52.4
Zeino, Luis / Ludwig, Tim;11:53.5
Thees, Tobias / Porst, Jonathan;11:53.9
Ehrich, Jonas / Gierth, Jana;11:54.0
Stockholm, Lars / Petersen, Carsten;11:54.0
Ihlow, Dominik / Kassburg, Roy;11:57.0
Roschner, Tino / Bachhoffer, Maria;11:59.0
Brocker, Viola / Richter, Patrick;12:00.0
Glanz, Connor Finn / Blesse, Maximilian;12:03.1
Lemm, Matthias / Hentschel, Felix;12:05.2
Schneider, Peer / Fehlau, Robert;12:08.0
Dobslaw, Alexander / Mäder, Adrian;12:11.9
Prüser, Marcel / Vahle, Sören;12:12.4
Caliari, Alex / Bartoli, Alessio;12:12.9
Schiller, Timo / Spengel, Sven;12:15.2
Kersten, Christin / Ziegler, Erik;12:15.9
Kunzler, Julian / Colling, Christian;12:16.6
Thiele, Florian / Lehmann, Manfred;12:17.9
Winkler, Damon / Jahn, Jonatan;12:21.1
Schulz, Robert / Passek, Svenja;12:21.8
Radke, Sebastian / Radke, Moritz;12:22.3
Juhnke, Torsten / Albert, Thomas;12:22.4
Yildiz, Marvin / Meding, Tom;12:24.0
Kahl, Markus / Kahl, Dominik;12:24.1
Kade, Anett / Meyne, Nicole;12:25.1
Lang, Vanessa / Hanh, Alexander;12:25.6
Nordmann, Daniel / Rimkus, Raffael;12:26.0
Weigert, Thomas / Oettl, Johannes;12:30.0
Nilsson, Mika / Hampori, Harri;12:35.4
Hüwels, Matthias / Hüwels, Florian;12:36.2
Klemm, Britta / Gohde, Stefan;12:38.0
Rahneberg, Marcel / Schulz, Rayko;12:39.8
Kulhawy, Antonia / Brandes, Marian;12:43.1
Bergmann, Freddy / Banson, Chrisstoffer;12:47.2
Beneke, Jan / Sprenger, Maximilian;12:48.5
Lünse, Nico / Göhring, Niclas;12:50.8
Schmock, Florian / Schulz, Paul;12:51.7
